x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,label
2,1,6,23580,28867,176,50,7,439,439,0,-0.2954,25672,3221,3824,0,0,0,0
1280,50,523,48580,29099,1287,3111,115,3429,3431,6.4962,-1.8276,62560,3208,10397,1060,331,63,0
20,3,15,28337,29304,661,936,26,215,215,0,-0.5144,18351,3245,9120,4,2,2,0
3293,28,1895,47257,32006,20024,33084,241,920,895,10.0809,0,37610,3170,14323,562,134,98,0
590,50,168,38918,36008,2321,8460,798,595,595,9.1616,-2.2925,30501,3230,13965,25,8,7,0
11,0,11,31254,36722,54,120,5,2738,2738,0,0,58407,2915,3802,844,299,84,0
346,12,268,115072,109756,4232,5619,180,590,590,3.6237,-0.9037,30347,3193,10935,71,17,15,0
0,0,1,1990,2170,183,37,0,15,15,0,0,9757,3200,16581,0,0,0,0
210,12,89,23864,3825,332,581,30,2470,2470,0,0,56479,3194,6967,823,44,28,0
135,1,43,3251,2282,1573,4769,78,485,485,0.0329,0,27233,3676,17594,188,74,41,0
33142,543,6673,73999,2835,32949,174792,3200,1715,1707,7.4775,-1.464,49078,3067,11818,1298,382,124,0
679,75,18,1160,3402,200,3393,432,742,742,0.3439,-0.208,34302,2688,14183,16,7,7,0
31,7,12,3156,3730,1169,1251,127,173,176,0.5467,-1.5217,17143,3148,11221,37,7,5,0
13,0,12,3997,4400,321,191,0,715,715,0,0,33743,3182,10825,18,6,5,0
9,0,47,3352,4478,73,23,1,2514,2514,0,0,56821,3200,18591,0,0,0,0
87,29,131,5164,4660,2927,2789,1420,258,259,1.7103,-0.9465,19612,3251,14787,95,36,30,0
8,0,2,4800,4775,31,55,2,1863,1863,0,0,50761,3085,10945,454,130,48,0
1,0,0,3941,4885,20,28,13,349,349,0,0,22702,3233,15899,0,0,0,0
440,10,147,19109,5698,744,2384,64,1667,1667,0,0,48466,3060,14425,411,102,43,0
12,0,5,5869,6463,45,121,4,1245,1245,0,0,43180,3246,5808,0,0,0,0
2,0,4,5106,6592,192,52,0,292,292,0,0,20663,2996,9375,0,0,0,0
4,0,31,6122,8356,107,20,0,1177,1177,0,0,42422,3200,8951,0,0,0,0
14,0,12,7340,8420,682,402,12,618,618,0,0,31168,3200,9818,0,0,0,0
37,3,9,6968,9585,27,92,5,1465,1464,1.8039,0,45957,3237,13234,0,0,0,0
48,1,3371,11464,9585,12183,335,9,860,860,0.7052,0,36978,3179,12586,0,0,0,0
820,75,449,10158,11338,2261,3984,617,1677,1671,25.654,-3.5584,48540,3165,9539,453,132,28,0
19,2,24,12119,12507,352,246,11,1088,1088,0,0,41074,3183,8269,68,24,22,0
3,0,21,12579,14451,556,100,25,454,454,0,0,26103,3200,10106,0,0,0,0
2,0,0,14389,15560,0,5,0,2097,2097,0,0,52648,3227,2912,1324,15,5,0
15,31,10,14550,16737,117,93,57,1479,1479,0,0,46050,3185,3736,181,60,10,0
106,19,77,24543,17995,247,430,75,3321,3323,2.7476,-2.0251,61721,3193,12537,224,71,52,0
554,78,380,21759,19944,550,796,95,4296,4296,18.9546,-2.0832,65890,3211,6788,718,23,7,0
124,2,371,16627,20002,7969,2538,34,330,330,0,0,21995,3206,2872,3,1,1,0
154,15,141,19108,22136,2525,3003,379,458,458,0.931,-4.0356,26275,3020,11937,30,11,7,0
510,18,633,87270,22950,998,2753,75,4373,4373,0,0,66346,3197,12079,52,48,1,0
26,0,17,17331,23961,216,52,0,1504,1504,0,0,46428,3226,1282,0,0,0,0
208,5,112,46395,25068,374,571,20,1763,1763,0.5009,0,49768,2921,7126,3800,223,32,0
21,1,32,23896,25367,147,148,8,893,893,0.7391,0,37574,3176,15359,307,114,69,0
14,0,11,18436,25566,54,31,2,1459,1459,0,0,45814,3239,11032,0,0,0,0
1,0,5,25660,26558,313,135,148,189,189,0,0,17368,3200,6653,0,0,0,0
206,3,55,25849,26565,99,338,4,5504,5504,0,0,69770,2808,13425,4185,1457,144,0
2077,13,845,39451,26567,1718,4048,22,6456,6456,3.4177,-0.6117,72653,3043,7032,5379,1718,57,0
5,0,5,34641,27315,16,28,2,1105,1105,0,0,41362,3200,11843,28,8,5,0
2,0,4,20469,27372,42,46,2,778,778,0,0,35047,3244,10262,69,15,9,0
9,0,46,24682,27673,472,91,1,822,822,0,0,36130,3200,15324,0,0,0,0
22,2,54,23154,27692,2092,1067,61,250,250,0,0,19364,3200,6843,0,0,0,0
18,0,53,22421,27802,188,97,1,2377,2377,0,0,55820,3139,1811,0,0,0,0
16,0,6,21704,27896,67,85,0,526,526,0,0,28439,3219,21136,7185,2746,15,0
38,0,16,24412,28306,88,122,7,1290,1290,0,0,43741,3199,14813,39,13,13,0
16,0,43,34694,28413,1559,610,6,418,418,0,0,24789,3200,10481,5053,1861,5,0
5,0,25,20619,28489,50,18,1,2952,2952,0,0,59863,3200,12937,0,0,0,0
166,2,177,23936,28594,469,385,13,2164,2164,0.4179,-0.9129,53370,3171,13559,454,62,27,0
6129,50,1967,29973,29256,27369,72533,582,1032,1032,0.1629,0,40117,2955,10739,489,25,7,0
135,0,120,22311,29516,169,249,5,2107,2107,0,0,52767,2605,10314,3,1,1,0
29,1,75,31183,34069,208,111,1,2376,2376,0,0,55741,3228,15375,554,276,3,0
46,0,222,30922,36475,8940,1969,3,174,174,0,0,17108,3219,1880,0,0,0,0
32,0,16,39310,43908,1019,513,1,390,390,0,0,23824,3219,12481,43,15,7,0
1215,42,1086,81239,64462,13949,15017,657,736,736,0.4564,-0.6044,34181,3156,19031,2486,880,146,0
602,6,1558,43225,68425,82636,25471,393,210,210,1.1611,-0.5478,18138,2969,9967,0,0,0,0
2593,36,11141,174227,107553,82555,28756,381,1072,1071,1.7664,0,40850,3123,12625,649,128,43,0
43679,145,20570,134090,112868,35037,63846,256,1776,1773,7.214,-0.1279,49910,3077,7301,7,2,2,0
7,1,12,7983,3509,245,85,10,292,292,0,0,20669,3202,13642,19,7,4,0
4,0,3,3476,3823,41,91,4,289,289,0,0,20593,3199,10443,393,37,13,0
0,0,2,4136,5486,6,4,5,1482,1482,0,0,46091,3196,10254,3,1,1,0
19,10,8,5579,6463,188,103,21,607,607,0,0,30860,2852,11841,11,4,4,0
1213,106,154,19445,9189,316,3458,366,1816,1816,0,0,50351,2668,13235,532,169,100,0
21,19,39,22537,26247,813,535,371,706,706,5.0311,0,33469,3234,7870,1614,636,13,0
372,87,147,1296,2381,559,1464,437,1426,1396,15.2615,-2.5324,45125,1550,10824,880,292,185,0
5,0,24,2678,3201,35,6,0,3753,3753,0,0,63853,3200,9332,0,0,0,0
11,3,5,4654,5296,31,60,11,2098,2098,0,0,52683,2793,10129,2640,852,263,0
162,78,41,4897,5357,471,1935,371,2137,2121,10.4349,-2.8519,52920,3748,16585,5594,1036,110,0
4,5,27,4412,5671,721,126,18,443,443,0,0,25703,3183,10433,0,0,0,0
11,0,14,11783,7968,216,112,9,1038,1038,0,0,40228,3197,9871,0,0,0,0
88,6,38,7782,8371,294,510,59,658,658,1.6253,0,32334,3124,10843,1525,573,97,0
83,5,17,9330,9765,43,182,10,2190,2190,2.9029,0,53614,3200,5703,1017,74,32,0
435,13,305,88141,75338,1175,1921,149,1394,1394,4.3676,-0.2956,45089,3212,13282,1494,392,108,0
19,1,0,2326,2006,35,137,9,445,445,0,0,25786,1214,4651,34,8,6,0
110,19,23,1130,2209,296,1514,343,1101,1101,0.6746,-0.1675,41254,3692,19707,333,121,62,0
3,0,0,1816,2405,6,10,0,700,700,0,0,33278,3200,2875,3,1,1,0
5,0,2,2136,2760,71,13,0,445,445,0,0,25770,3202,14718,0,0,0,0
0,0,15,4181,5410,60,9,0,3041,3041,0,0,60502,3132,4773,0,0,0,0
40,0,21,26055,6146,963,1178,3,648,648,0,0,32066,3234,8505,2949,986,45,0
5,0,5,4709,6382,23,8,0,1090,1090,0,0,41111,3200,4242,0,0,0,0
14,0,9,7459,7400,93,109,8,802,802,0.343,0,35714,2712,10244,22,8,6,0
22,2,28,8216,8936,1092,1030,77,358,358,0.9819,0,22956,3207,11490,151,41,13,0
3,0,31,11775,16722,449,94,0,682,682,0,0,32751,3200,8967,0,0,0,0
4,0,11,36132,43217,634,145,31,250,250,0,0,19357,3201,1093,0,0,0,0
17,1,148,2093,2400,1383,133,12,831,831,0,-0.6655,36336,3189,16644,0,0,0,0
81,76,25,2364,2437,136,665,616,1781,1781,1.9258,-1.1789,50024,2754,11597,574,108,70,0
1053,392,361,5359,2727,3773,9986,2634,1629,1524,40.4636,-11.2776,46749,4205,16421,293,104,60,0
7681,99,2653,55357,3244,10764,30678,486,963,966,2.6151,-4.4399,38873,2855,10420,1328,437,37,0
166,7,70,2838,5000,840,935,95,1480,1480,0,0,46089,3721,15841,1798,618,246,0
530,32,201,4563,5053,1158,2683,219,1765,1764,1.4216,-0.2069,49782,3816,22585,2146,1291,239,0
13,0,10,5045,5492,73,92,1,276,276,0,0,20225,3068,16772,1941,705,3,0
0,0,11,4536,6320,86,6,0,819,819,0,0,36104,3199,5649,0,0,0,0
67,1,51,38515,7620,865,915,16,575,575,0,0,29990,2958,12750,5943,1963,33,0
23,2,12,8837,8473,95,144,18,1963,1963,1.709,0,51700,3205,7788,1766,67,45,0
389,18,155,18897,17383,3267,7264,360,458,458,2.2627,-1.1457,26268,3158,13374,58,25,16,0
11,0,9,19459,22105,188,106,5,394,394,0,0,23980,3225,8776,8,3,3,0
34,0,29,17495,22477,58,74,0,2699,2699,0,0,57998,3205,9940,6,2,1,0
16,0,93,18315,26128,1622,311,0,723,723,0,0,33941,3200,10183,0,0,0,0
1585,17,412,50390,27393,1329,5819,56,2680,2680,2.8766,-0.184,57922,3200,10346,8902,2408,15,0
163,0,844,22222,31297,13407,3432,1,703,703,0,0,33330,3231,10768,159,1,1,0
50,2,36,83359,95115,1871,1456,44,346,345,0.3568,0,22602,3193,6579,7,3,3,0
12,3,35,1705,2014,73,22,7,2826,2826,0,0,59130,3203,9405,0,0,0,0
2,0,9,1566,2159,31,6,0,2345,2345,0,0,55282,3175,1967,0,0,0,0
277,3,22,1967,2235,154,1271,965,858,858,0,0,36940,2922,2027,563,239,9,0
64,2,32,1408,2293,147,469,23,1726,1726,0.4797,0,49317,3309,11126,417,133,31,0
590,212,56,1909,2617,146,1582,594,1754,1746,3.9065,-1.6634,49549,3170,16845,458,166,101,0
22,2,8,6432,3518,35,66,12,2657,2657,0,-0.5043,57681,3200,1880,0,0,0,0
61,1,17,17674,4721,54,159,1,2284,2284,0,0,54534,3200,10380,61,22,9,0
13,4,25,23524,25675,782,294,198,483,483,0.9046,0,27142,3201,14137,1,1,1,0
1,0,0,1462,2037,0,1,0,6347,6347,0,0,71768,3200,1034,0,0,0,0
2337,106,361,2976,2285,1205,9868,448,1746,1745,1.1328,0,49535,3242,15566,1148,438,180,0
6,0,47,3530,2738,423,78,3,1022,1022,0,0,39900,3199,1839,0,0,0,0
204,220,60,3321,3276,322,1218,1727,1010,936,23.8627,-5.5345,38377,1727,6813,235,61,39,0
188,10,321,3382,3420,4231,2562,277,1026,1026,0.1738,-0.2636,39940,4174,20784,6040,2066,21,0
52,3,1181,14170,3583,3609,400,14,1003,1003,0.3293,0,39595,2981,11315,499,101,11,0
